,Region,RegionName,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
910,Zip,00501,NY,Suffolk County,Holtsville,2022-02-28,4.5
911,Zip,00602,AL,Lee County,Auburn,2022-02-28,4.5
912,Zip,00606,MO,Newton County,Neosho,2022-02-28,4.7
913,Zip,00693,PA,Westmoreland County,Greensburg,2022-02-28,7.3
914,Zip,00705,UT,Kane County,Aibonito,2022-02-28,3.3
915,Zip,00734,TX,Midland County,Ponce,2022-02-28,7.0
916,Zip,00742,CO,Gunnison County,Ceiba,2022-02-28,9.6
917,Zip,00765,CO,Gunnison County,Ohio City,2022-02-28,6.3
918,Zip,00791,NM,San Miguel County,Humacao,2022-02-28,3.3
919,Zip,00822,LA,Lincoln Parish,Choudrant,2022-02-28,4.2
920,Zip,00917,UT,Kane County,San Juan,2022-02-28,1.5
921,Zip,01001,MA,Hampden County,Agawam,2022-02-28,5.2
922,Zip,01002,MA,Hampshire County,Amherst,2022-02-28,4.7
923,Zip,01005,MA,Worcester County,Barre,2022-02-28,6.5
924,Zip,01007,MA,Hampshire County,Belchertown,2022-02-28,5.3
925,Zip,01008,MA,Hampden County,Blandford,2022-02-28,6.2
926,Zip,01009,TX,Jefferson County,Nome,2022-02-28,3.3
927,Zip,01010,MA,Hampden County,Brimfield,2022-02-28,7.1
928,Zip,01011,MA,Hampden County,Chester,2022-02-28,4.6
929,Zip,01012,MA,Hampshire County,Chesterfield,2022-02-28,5.2
930,Zip,01013,MA,Hampden County,Chicopee,2022-02-28,6.8
931,Zip,01020,MA,Hampden County,Chicopee,2022-02-28,6.7
932,Zip,01022,MA,Hampden County,Chicopee,2022-02-28,6.7
933,Zip,01026,MA,Hampshire County,Cummington,2022-02-28,5.7
934,Zip,01027,MA,Hampshire County,Easthampton,2022-02-28,5.6
935,Zip,01028,MA,Hampden County,East Longmeadow,2022-02-28,5.4
936,Zip,01029,MA,Berkshire County,Otis,2022-02-28,6.9
937,Zip,01030,MA,Hampden County,Agawam,2022-02-28,4.8
938,Zip,01031,MA,Worcester County,Hardwick,2022-02-28,7.3
939,Zip,01032,MA,Hampshire County,Goshen,2022-02-28,5.1
940,Zip,01033,MA,Hampshire County,Granby,2022-02-28,5.5
941,Zip,01034,MA,Hampden County,Tolland,2022-02-28,6.1
942,Zip,01035,MA,Hampshire County,Hadley,2022-02-28,5.3
943,Zip,01036,MA,Hampden County,Hampden,2022-02-28,5.2
944,Zip,01037,MA,Worcester County,Hardwick,2022-02-28,7.2
945,Zip,01038,MA,Hampshire County,Hatfield,2022-02-28,5.7
946,Zip,01039,MA,Hampshire County,Williamsburg,2022-02-28,6.8
947,Zip,01040,MA,Hampden County,Holyoke,2022-02-28,5.7
948,Zip,01050,MA,Hampshire County,Huntington,2022-02-28,6.3
949,Zip,01053,MA,Hampshire County,Northampton,2022-02-28,5.6
950,Zip,01054,MA,Franklin County,Leverett,2022-02-28,8.1
951,Zip,01056,MA,Hampden County,Ludlow,2022-02-28,4.6
952,Zip,01057,MA,Hampden County,Monson,2022-02-28,5.4
953,Zip,01060,MA,Hampshire County,Northampton,2022-02-28,5.8
954,Zip,01062,MA,Hampshire County,Northampton,2022-02-28,5.5
955,Zip,01063,MA,Hampshire County,Northampton,2022-02-28,6.1
956,Zip,01066,MA,Hampshire County,Hatfield,2022-02-28,5.6
957,Zip,01068,MA,Worcester County,Oakham,2022-02-28,6.7
958,Zip,01069,MA,Hampden County,Palmer,2022-02-28,5.2
959,Zip,01070,MA,Hampshire County,Plainfield,2022-02-28,6.7
960,Zip,01071,MA,Hampden County,Russell,2022-02-28,6.4
961,Zip,01072,MA,Franklin County,Shutesbury,2022-02-28,8.2
962,Zip,01073,MA,Hampshire County,Southampton,2022-02-28,5.3
